component	entry	rust_path	rust_symbol
bloodprg	0x00604e	crates/commander-blood-game/src/native/bloodprg/vm.rs	active_objects_in_play
bloodprg	0x00624b	crates/commander-blood-game/src/native/bloodprg/navigation.rs	navigation_source_objects
bloodprg	0x0061a6	crates/commander-blood-game/src/native/bloodprg/navigation.rs	resolve_navigation_position
bloodprg	0x006c7e	crates/commander-blood-game/src/native/bloodprg/record_state.rs	apply_actor_record_operation
bloodprg	0x006eee	crates/commander-blood-game/src/native/bloodprg/record_state.rs	apply_presentation_queue_operation
bloodprg	0x006fb9	crates/commander-blood-game/src/native/bloodprg/record_state.rs	apply_record_clear_operation
bloodprg	0x006ff3	crates/commander-blood-game/src/native/bloodprg/ship_view.rs	select_ship_view_artwork
bloodprg	0x00721a	crates/commander-blood-game/src/native/bloodprg/navigation.rs	navigation_chart_objects
bloodprg	0x0072a8	crates/commander-blood-game/src/native/bloodprg/menu_reveal.rs	reveal_inline_menu_step
bloodprg	0x00739b	crates/commander-blood-game/src/native/bloodprg/text_scan.rs	activate_profile_object_text
bloodprg	0x007549	crates/commander-blood-game/src/native/bloodprg/descript.rs	stop_before_character_record
bloodprg	0x007557	crates/commander-blood-game/src/native/bloodprg/descript.rs	stop_before_sequence_record
bloodprg	0x00763e	crates/commander-blood-game/src/native/bloodprg/descript.rs	load_descript_sound_bank
bloodprg	0x007684	crates/commander-blood-game/src/native/bloodprg/descript.rs	append_descript_talk_clip
bloodprg	0x0076c0	crates/commander-blood-game/src/native/bloodprg/descript.rs	select_character_right_scene_video
bloodprg	0x0076d5	crates/commander-blood-game/src/native/bloodprg/descript.rs	select_character_left_scene_video
bloodprg	0x0076ea	crates/commander-blood-game/src/native/bloodprg/descript.rs	load_descript_idle_clip
bloodprg	0x007754	crates/commander-blood-game/src/native/bloodprg/descript.rs	append_descript_sequence_video
bloodprg	0x007776	crates/commander-blood-game/src/native/bloodprg/descript.rs	append_descript_sequence_subtitle
bloodprg	0x007788	crates/commander-blood-game/src/native/bloodprg/descript.rs	select_descript_character_sprite
bloodprg	0x0077a9	crates/commander-blood-game/src/native/bloodprg/descript.rs	select_descript_music
bloodprg	0x007409	crates/commander-blood-game/src/native/bloodprg/descript_lookup.rs	lookup_and_apply_descript_record
bloodprg	0x0077e0	crates/commander-blood-game/src/native/bloodprg/bridge_frame.rs	render_bridge_frame
bloodprg	0x007cb4	crates/commander-blood-game/src/native/bloodprg/selected_mask.rs	draw_presentation_choice_number
bloodprg	0x007ce8	crates/commander-blood-game/src/native/bloodprg/sequence_subtitles.rs	present_sequence_subtitle
bloodprg	0x0078d0	crates/commander-blood-game/src/native/bloodprg/presentation_hover.rs	update_presentation_hover
bloodprg	0x0079e5	crates/commander-blood-game/src/native/bloodprg/screen_presentation.rs	update_presentation_screen
bloodprg	0x00792d	crates/commander-blood-game/src/native/bloodprg/camera_navigation.rs	update_camera_navigation
